NombreEstado;State
Alabama;AL
Alaska;AK
Arizona;AZ
Arkansas;AR
California;CA
Carolina del Norte;NC
Carolina del Sur;SC
Colorado;CO
Connecticut;CT
Dakota del Norte;ND
Dakota del Sur;SD
Delaware;DE
Distrito de Columbia;DC
Florida;FL
Fuerzas Armadas de América;AA
Fuerzas Armadas de Europa;AE
Fuerzas Armadas del Pacífico;AP
Georgia;GA
Hawai;HI
Idaho;ID
Illinois;IL
Indiana;IN
Iowa;IA
Kansas;KS
Kentucky;KY
Luisiana;LA
Maine;ME
Maryland;MD
Massachusetts;MA
Michigan;MI
Minnesota;MN
Mississippi;MS
Missouri;MO
Montana;MT
Nebraska;NE
Nevada;NV
Nueva Hampshire;NH
Nueva Jersey;NJ
Nueva York;NY
Nuevo México;NM
Ohio;OH
Oklahoma;OK
Oregón;OR
Pensilvania;PA
Rhode Island;RI
Tennessee;TN
Texas;TX
Utah;UT
Vermont;VT
Virginia;VA
Virginia Occidental;WV
Washington;WA
Wisconsin;WI
Wyoming;WY
